branch,cgpa,internship_count,project_count,certifications_count,coding_skills_score,communication_skills_score,soft_skills_score,hackathon_participation,placement_probability
2,5.47,4,4,1,96,88,77,0,68
5,8.27,0,7,0,79,42,73,0,65
2,6.67,3,3,0,65,47,89,1,56
6,6.93,4,3,1,56,91,85,1,65
5,7.86,1,6,2,64,100,77,0,72
6,7.4,4,6,1,76,44,51,0,73
3,6.91,3,2,1,66,96,91,1,62
3,6.54,3,7,0,42,59,60,0,64
2,8.09,3,6,3,95,83,66,0,83
2,7.53,0,5,5,63,64,79,1,67
5,6.62,4,4,2,64,45,42,1,65
3,6.02,1,5,4,89,67,76,1,66
4,8.87,1,6,1,49,62,88,0,68
4,9.0,2,4,0,75,63,65,0,68
4,6.07,3,3,3,81,49,91,1,63
3,6.31,1,4,2,57,49,44,0,55
4,6.2,3,2,1,100,72,85,0,62
6,9.42,1,1,0,84,48,100,0,59
1,8.87,4,7,1,93,57,59,1,85
2,5.37,2,4,4,56,42,99,1,57
5,9.16,3,6,2,53,72,85,1,78
6,5.18,0,2,5,97,49,80,1,54
4,6.27,0,3,2,58,66,47,0,51
1,9.59,1,3,2,57,74,82,1,67
5,9.32,4,1,2,62,57,67,1,69
6,8.91,3,6,0,47,46,68,0,70
5,7.29,2,5,4,89,46,89,0,72
2,6.61,4,5,1,55,61,80,1,66
3,9.41,1,4,0,64,49,41,1,64
4,8.29,4,3,3,82,99,93,1,79
6,6.48,2,2,2,71,66,41,0,57
6,7.32,4,1,2,88,84,77,1,68
1,9.41,3,5,1,89,43,77,1,77
1,9.52,1,4,2,58,51,82,1,67
1,8.3,2,4,2,57,42,62,0,65
5,8.66,1,3,1,71,94,49,1,66
4,5.2,3,2,4,85,87,84,0,63
5,8.02,2,2,0,88,82,92,0,63
4,8.44,2,5,4,79,42,67,0,75
6,5.1,1,4,1,54,64,58,0,49
5,9.22,4,3,5,88,65,67,1,84
5,9.64,4,2,5,60,79,70,0,81
5,6.19,0,4,5,50,46,41,1,56
3,9.23,0,2,2,68,85,68,0,63
2,8.33,2,1,2,71,73,91,0,62
4,7.9,1,2,4,45,49,100,0,58
4,9.22,2,2,3,94,42,53,0,71
5,6.43,1,4,0,58,95,67,1,56
3,8.95,3,2,2,55,67,40,1,67
5,6.57,0,2,1,51,50,98,0,45
4,8.94,2,1,4,54,90,83,0,68
2,7.26,3,2,0,50,71,89,1,56
2,5.58,4,2,5,78,47,95,0,64
6,6.91,0,4,3,95,59,55,1,62
3,6.17,1,3,5,49,44,76,1,56
2,5.5,4,1,5,90,80,60,0,67
3,5.55,4,2,2,76,52,90,0,59
5,8.9,3,3,4,88,50,53,1,77
6,9.41,2,4,2,96,97,82,0,80
4,9.64,2,1,4,63,73,56,1,70
2,9.27,3,6,3,90,83,93,0,87
2,9.15,4,4,1,75,42,54,0,74
1,5.34,0,3,1,40,54,87,1,41
4,8.95,4,1,0,85,99,70,1,71
2,8.92,3,2,2,56,99,85,1,70
2,5.66,4,3,2,53,72,99,0,60
4,8.31,4,4,2,77,95,88,1,79
6,7.26,4,1,1,93,99,75,0,68
3,9.5,4,3,0,64,82,53,1,74
4,8.48,0,7,1,99,96,75,0,76
3,9.75,1,6,5,76,49,66,1,82
6,5.52,1,3,4,74,96,42,1,60
6,5.2,2,4,2,61,42,75,1,53
5,9.87,1,4,4,95,85,93,0,82
1,5.4,1,2,5,99,92,45,1,62
6,6.93,1,2,3,86,87,66,0,62
6,8.25,4,3,4,46,80,61,0,74
3,9.4,4,4,4,50,53,61,1,79
6,6.27,0,7,4,49,92,75,1,66
4,5.15,4,3,1,53,72,71,1,56
5,7.61,4,7,4,74,72,66,0,84
5,7.36,1,5,5,85,75,46,0,74
4,6.53,0,6,2,88,62,78,1,63
2,9.37,0,4,0,75,94,89,0,67
6,8.75,1,7,3,45,94,51,1,76
1,9.29,1,5,2,91,100,55,0,79
6,5.81,0,7,0,44,93,77,1,55
5,8.46,3,5,2,81,100,44,0,80
1,9.88,1,4,4,46,40,81,0,70
2,8.06,1,2,3,54,66,88,1,60
3,5.86,0,3,2,60,90,74,0,52
3,9.98,3,1,3,92,71,48,0,77
6,7.64,3,1,1,57,60,68,1,57
6,9.2,2,6,1,40,83,66,0,73
1,5.75,3,7,4,43,59,96,0,68
1,8.33,1,4,4,50,66,71,0,67
2,9.56,4,7,1,49,75,49,1,83
6,7.66,0,2,2,84,80,64,0,59
5,6.44,1,2,0,95,71,98,1,54
3,5.64,0,2,0,58,78,81,0,43
2,6.48,3,1,1,93,96,92,1,62
1,6.77,0,5,0,81,68,77,1,57
5,8.55,1,6,2,69,85,64,0,73
6,5.89,4,7,0,89,62,43,0,71
4,5.53,1,1,5,80,97,82,0,58
1,6.93,2,2,0,80,74,91,0,57
2,7.29,0,1,5,59,54,99,1,55
4,8.14,1,1,1,99,82,80,1,62
5,8.54,3,6,3,66,49,83,1,77
3,9.45,3,3,3,51,91,62,1,75
5,6.44,1,4,2,95,54,93,1,61
3,7.64,2,7,3,53,64,49,0,73
5,6.83,0,5,4,73,56,45,0,63
1,5.01,2,7,1,81,90,52,0,65
1,7.9,4,3,5,89,70,70,0,80
2,9.08,1,4,5,77,50,44,1,74
4,5.18,2,2,3,41,59,99,0,49
5,5.02,4,6,0,88,70,98,0,66
5,8.64,2,6,3,97,55,43,0,80
4,8.42,4,3,1,71,75,42,1,72
6,7.03,3,7,0,57,78,69,1,70
2,8.31,3,4,0,89,50,62,0,69
5,9.77,1,6,5,60,59,76,1,80
2,6.24,2,3,1,85,65,57,0,58
5,6.23,3,6,2,93,95,74,1,75
5,5.93,0,1,2,50,88,44,0,46
6,8.62,3,1,1,69,90,80,1,66
1,6.77,3,3,5,58,65,67,1,67
2,9.94,2,7,1,87,81,77,0,85
4,8.57,4,3,1,79,86,86,1,75
2,6.84,0,7,0,89,45,98,1,61
6,5.75,0,5,0,69,84,57,0,53
3,7.96,4,2,1,97,74,47,0,71
3,6.47,2,1,5,74,47,51,1,59
6,9.53,3,6,0,43,46,69,0,72
6,7.21,4,3,4,60,76,61,1,71
1,6.46,0,4,1,44,89,45,1,52
2,7.94,0,6,0,93,98,100,0,69
2,5.68,3,2,2,75,92,69,0,60
3,7.81,3,4,1,97,55,47,1,71
4,5.28,1,6,1,66,48,94,0,55
2,8.03,4,2,1,46,50,86,0,62
5,7.65,3,4,3,100,60,87,0,75
5,7.6,1,1,1,99,99,68,0,61
1,8.42,2,3,2,95,90,70,0,73
1,5.22,0,7,0,70,85,44,0,56
3,7.3,4,6,1,59,46,50,1,70
4,7.22,2,3,5,64,51,96,1,66
4,7.3,4,5,4,77,90,56,0,81
6,9.9,4,6,5,99,79,52,0,97
1,5.7,3,3,5,95,60,59,1,68
2,8.45,1,7,0,64,44,70,1,67
5,7.01,4,6,2,56,45,65,0,70
2,7.56,2,1,3,85,82,67,0,64
5,8.81,4,2,2,76,65,98,0,73
3,5.79,1,2,5,54,68,64,0,55
5,8.82,0,3,3,94,93,87,0,71
2,5.35,4,4,0,49,42,57,1,54
2,7.42,2,3,3,73,50,84,1,64
4,8.71,0,6,0,83,62,71,1,67
4,5.96,0,2,2,82,64,68,0,50
1,8.85,3,7,5,46,51,42,0,82
2,5.83,3,6,2,78,40,74,1,66
3,9.0,4,5,3,90,43,77,1,83
5,7.34,2,2,4,64,91,54,1,66
1,8.42,3,4,5,78,40,90,0,77
6,9.59,1,4,5,85,45,42,1,77
6,7.04,1,5,2,83,73,60,1,66
5,6.16,0,6,3,67,66,100,1,61
5,9.34,0,6,1,81,84,42,0,73
5,5.81,0,6,0,66,55,92,1,53
4,8.16,1,7,1,76,50,74,0,70
5,9.62,3,4,1,94,53,89,1,77
6,8.37,3,3,1,78,77,47,1,70
5,5.98,4,3,3,77,87,87,1,68
2,5.76,2,7,2,91,88,42,1,71
3,6.26,1,7,5,95,49,93,0,73
6,6.96,0,7,1,67,100,50,1,66
3,5.8,2,2,3,73,92,87,0,59
6,8.99,0,1,2,68,93,41,0,61
1,6.79,2,3,0,84,97,72,1,62
2,9.68,2,3,2,87,52,47,0,73
6,9.21,3,6,2,47,84,51,0,79
2,9.54,4,7,1,52,73,58,0,83
6,6.47,4,6,3,85,72,57,1,77
3,7.87,0,7,5,76,94,89,0,78
3,6.61,1,5,4,94,72,60,0,70
6,6.28,4,3,0,42,78,61,0,58
6,8.04,1,7,3,53,52,82,1,70
4,9.09,0,2,5,71,56,69,1,66
2,5.47,1,7,1,62,48,57,1,57
2,6.38,2,6,3,96,52,45,0,71
2,6.03,2,5,5,62,55,40,0,66
2,8.99,0,3,4,52,76,48,1,65
1,9.67,1,2,0,88,93,91,0,68
1,5.4,1,5,2,80,69,55,1,59
5,6.9,0,1,5,78,78,68,1,58
6,9.57,4,6,0,89,72,68,1,84
6,6.72,3,2,4,60,79,44,1,64
6,8.56,4,3,0,82,45,58,0,69
6,5.5,3,5,5,87,51,61,1,70
2,7.22,1,1,0,97,41,88,0,52
2,7.52,3,2,1,70,72,94,0,62
1,8.79,3,1,2,89,54,47,1,68
3,6.44,1,2,4,46,56,90,0,53
4,6.32,2,3,1,96,91,57,0,63
2,6.51,3,2,0,75,74,83,0,57
2,7.78,0,3,0,58,70,87,0,53
2,9.38,4,2,3,61,69,53,0,75
3,9.15,1,7,1,63,98,43,1,77
3,5.29,1,5,4,63,77,79,0,61
1,9.39,3,2,4,95,55,66,1,78
2,5.48,2,2,4,60,81,63,0,57
4,7.08,2,4,5,100,84,69,0,76
6,8.83,4,4,5,82,79,51,1,86
2,5.41,4,2,5,52,56,82,0,61
1,5.2,2,4,4,99,99,52,1,68
1,6.65,2,3,0,45,46,79,0,50
4,8.65,2,4,5,67,95,89,1,78
5,7.61,3,2,0,71,44,84,0,58
1,7.09,0,6,1,52,79,43,1,60
3,9.07,4,1,2,73,100,65,1,74
3,8.83,1,6,4,71,66,40,1,77
6,8.93,2,6,0,93,40,66,1,73
1,7.3,2,6,1,53,41,62,1,63
6,5.1,0,6,4,71,43,81,1,57
1,5.86,2,1,2,84,40,77,0,51
4,8.71,4,2,4,44,68,50,0,72
2,8.77,2,2,5,74,60,78,1,72
1,9.86,0,1,3,95,81,81,1,69
5,5.95,3,7,4,43,74,83,0,71
3,5.61,4,7,3,53,73,60,0,72
4,5.69,3,5,2,57,78,61,0,63
2,5.92,1,4,3,50,41,67,1,53
2,7.64,0,5,2,58,64,77,1,61
3,9.88,1,3,1,41,45,45,1,61
2,7.95,1,6,3,73,47,64,0,70
6,7.61,1,7,5,42,74,43,1,73
4,8.37,1,6,4,68,92,73,1,77
5,5.37,0,1,4,62,58,96,1,46
3,9.08,3,1,1,97,48,65,0,68
1,8.23,2,5,0,87,72,78,0,70
1,5.86,1,3,5,40,47,92,0,54
1,8.15,2,5,5,81,77,93,1,79
4,7.98,2,3,2,45,71,66,0,62
5,5.32,1,2,5,98,62,78,0,59
2,6.33,4,6,0,56,73,60,1,67
5,6.95,2,2,0,58,62,60,0,53
5,6.22,4,1,1,83,85,93,1,61
3,6.22,3,2,1,91,71,95,1,60
4,7.86,2,5,3,100,40,68,1,73
1,7.35,0,3,5,87,46,73,1,63
3,8.34,3,1,3,95,82,66,0,72
2,9.78,3,2,3,41,87,81,1,72
5,8.3,4,1,3,54,63,96,0,67
1,7.91,1,1,3,62,41,85,0,55
4,9.24,0,3,4,58,97,65,0,69
6,8.16,0,5,1,72,57,44,1,62
5,5.83,4,6,2,45,58,59,1,65
5,6.57,4,5,2,89,81,47,1,75
5,8.67,3,4,2,100,75,91,0,79
5,8.69,4,5,2,58,95,57,1,80
1,9.94,1,2,2,69,67,92,1,67
4,8.13,3,4,4,61,74,44,1,74
3,9.5,3,4,1,42,71,43,0,71
1,5.27,3,4,5,99,52,90,1,69
4,7.83,0,4,3,44,45,82,0,57
3,9.6,0,5,3,69,68,44,1,73
5,6.44,3,7,3,42,49,55,1,68
4,5.77,1,4,1,99,98,48,0,61
5,6.75,2,2,1,78,79,64,0,58
4,8.96,3,2,5,78,49,96,1,75
2,5.42,4,1,4,67,73,77,0,60
6,8.0,2,7,4,40,59,47,0,74
5,5.68,0,7,5,61,86,40,1,67
5,7.18,0,2,3,84,72,70,0,58
5,9.83,2,6,5,84,50,72,0,86
2,5.98,4,1,1,86,63,94,0,58
1,5.17,0,2,3,90,72,99,1,51
3,7.14,0,4,4,78,99,44,1,67
5,7.89,3,3,5,56,96,57,1,74
5,6.49,1,4,3,81,61,75,1,62
1,7.71,4,5,4,90,87,87,1,84
1,9.77,3,1,0,67,51,59,1,64
6,6.56,1,3,2,97,69,93,1,61
4,6.55,0,7,0,89,71,63,1,63
5,7.41,1,2,5,69,100,100,1,67
4,7.58,0,4,3,79,83,58,1,65
1,5.01,3,7,3,47,58,67,0,64
1,8.08,0,1,1,66,84,99,0,54
6,9.99,1,1,2,80,79,69,1,68
3,6.46,3,7,4,84,41,78,0,75
2,8.15,1,2,3,64,98,54,1,65
2,5.02,1,1,4,98,90,89,0,56
2,8.02,2,2,4,52,53,48,1,63
1,7.24,0,7,4,73,94,99,1,73
5,7.65,0,2,0,78,98,78,0,56
6,7.72,1,4,4,46,72,70,0,65
3,5.88,0,1,1,91,71,40,0,48
2,8.85,4,7,0,61,96,52,1,82
6,7.78,0,5,0,72,97,75,1,63
1,6.35,3,5,3,85,80,41,0,72
2,9.69,0,4,2,77,58,81,1,69
3,5.06,4,7,2,70,53,76,0,68
4,8.63,1,4,5,84,43,96,1,73
3,6.91,0,2,3,72,41,74,0,52
5,7.61,3,7,2,92,49,76,1,78
2,6.46,4,5,4,91,98,50,1,80
2,6.61,2,1,1,61,68,97,1,52
4,5.08,1,5,4,66,54,57,0,58
4,8.65,1,4,2,66,70,59,0,67
2,8.55,1,4,2,60,72,41,0,66
5,8.27,4,7,1,92,68,63,0,83
4,9.39,0,7,0,74,50,94,1,70
1,9.51,0,7,0,97,87,55,0,77
2,7.78,0,7,1,86,84,62,0,70
3,8.42,0,2,0,89,79,94,1,59
3,5.05,1,1,2,94,98,96,1,52
5,9.23,2,4,0,49,48,89,0,64
1,9.08,1,6,2,86,86,77,0,78
4,5.1,2,1,3,67,96,86,0,53
2,7.71,2,5,4,79,97,83,1,77
3,9.53,0,2,0,76,68,68,1,60
3,5.91,3,7,3,80,76,69,0,74
3,6.76,4,5,5,72,60,43,0,77
3,6.66,3,7,0,100,70,68,0,74
6,6.78,2,6,3,90,92,83,0,75
5,5.21,3,4,1,47,61,97,1,54
4,6.4,2,4,3,76,91,82,1,67
2,6.47,1,1,2,89,57,93,0,53
2,9.33,1,7,1,97,41,80,0,77
2,6.76,0,4,1,80,99,66,1,60
4,7.24,4,6,2,100,61,72,1,79
5,6.9,1,1,0,72,76,57,0,50
1,5.6,4,6,1,58,59,45,1,65
5,9.95,0,3,0,69,87,71,1,65
3,9.13,4,4,4,53,87,70,1,81
3,7.7,1,5,3,53,93,51,1,68
5,7.38,1,5,3,75,100,99,0,71
5,8.25,3,1,2,46,43,62,1,58
4,6.63,3,6,2,91,65,68,0,73
4,5.25,3,6,5,82,59,42,1,72
6,7.02,4,6,3,73,61,72,1,77
2,9.92,1,6,4,89,82,78,0,85
6,5.91,0,3,2,71,100,67,1,55
2,7.64,2,4,4,81,59,57,0,71
3,5.04,1,6,5,72,68,83,0,64
6,5.61,3,2,2,94,87,100,1,62
6,7.94,3,2,1,53,96,61,0,64
1,6.49,4,7,5,64,70,59,0,80
5,9.53,3,7,0,67,100,55,1,83
4,7.03,4,5,3,81,62,97,0,75
6,6.04,0,4,0,89,83,91,1,55
4,7.73,3,2,5,78,100,96,0,75
2,8.97,4,1,3,69,77,46,0,73
6,5.1,3,4,5,70,55,88,1,64
2,7.53,4,5,2,63,58,43,0,72
6,8.87,1,7,0,90,50,81,1,73
3,5.52,4,3,5,43,51,77,1,62
1,9.51,2,1,5,53,75,73,0,71
2,6.32,0,1,4,48,52,75,0,47
5,5.85,1,6,5,75,41,57,1,65
5,7.95,0,4,2,45,90,72,1,60
3,5.88,1,7,5,63,50,40,0,67
3,8.4,3,3,1,65,40,87,0,64
5,7.45,4,1,0,73,80,64,1,62
2,5.55,3,3,0,40,49,84,0,49
5,9.56,0,5,1,62,42,53,1,65
1,8.37,0,1,3,56,47,50,0,54
6,7.73,1,7,2,75,55,96,1,71
1,6.87,0,2,1,76,75,91,0,52
5,5.67,4,7,5,89,82,100,0,82
6,8.54,0,5,4,97,79,47,0,76
5,9.07,3,5,2,84,78,99,1,80
1,5.63,4,6,1,59,59,81,0,65
1,7.47,0,1,1,98,86,55,1,56
2,7.42,2,2,0,98,94,98,1,63
2,6.75,2,3,0,65,99,78,0,59
1,8.95,3,2,0,50,47,76,0,61
6,5.5,1,5,2,94,49,70,0,59
2,6.03,1,1,5,59,90,81,0,56
2,5.01,0,2,3,98,76,57,0,52
4,6.86,4,7,2,40,71,96,1,73
4,6.46,1,2,0,83,66,46,0,52
2,9.33,2,5,0,52,70,43,1,69
5,8.73,1,3,2,97,42,71,0,67
6,5.42,2,2,5,75,78,70,1,60
3,8.7,1,6,5,98,45,49,0,80
2,8.38,3,2,1,83,56,69,1,66
4,6.41,4,4,1,77,49,89,0,65
6,5.08,0,5,0,52,60,89,0,46
6,5.58,2,4,0,53,68,74,0,52
4,6.25,1,5,3,51,68,84,0,60
6,9.08,0,5,5,92,59,70,1,77
6,7.33,2,4,1,100,54,70,0,66
4,9.59,2,7,3,91,41,85,0,84
1,8.95,3,3,0,73,72,93,0,69
2,6.44,1,3,5,97,51,85,0,65
5,9.23,0,5,0,66,52,72,1,63
3,5.58,1,7,3,93,83,44,1,70
5,5.18,1,7,3,51,83,49,0,62
1,8.04,4,4,0,77,78,85,1,72
1,6.71,2,2,4,93,78,90,0,66
6,6.65,2,5,0,75,77,62,0,63
5,8.44,4,6,1,95,84,46,1,84
1,9.25,4,5,5,40,60,97,0,82
5,6.61,1,1,5,65,80,86,0,58
1,6.63,2,3,0,79,55,67,1,56
3,7.67,0,4,2,79,73,60,1,63
1,8.27,3,2,0,60,66,70,0,61
5,6.01,4,6,4,71,82,80,0,76
6,9.56,0,7,1,64,42,66,0,70
5,8.27,0,2,0,51,48,68,0,49
4,8.13,1,6,3,64,83,49,0,73
5,9.52,4,5,1,65,100,47,0,83
3,9.54,0,2,1,75,73,48,0,62
2,5.68,3,2,4,55,58,50,0,58
3,5.73,0,5,5,53,77,61,1,60
3,8.81,3,3,3,85,65,79,1,75
1,9.78,3,1,2,73,62,65,0,70
3,8.33,3,3,0,88,57,89,0,67
5,7.06,4,3,2,63,84,76,0,68
2,8.42,3,1,5,47,85,79,0,69
6,6.14,4,5,3,66,79,41,0,71
3,9.99,0,3,1,78,80,89,1,68
5,7.16,3,4,4,52,84,58,1,70
1,9.66,2,4,4,68,88,89,1,80
1,7.15,0,1,1,70,77,91,0,50
6,9.64,2,4,4,82,91,55,1,82
6,6.68,2,5,2,58,49,43,0,62
5,8.8,1,2,5,90,82,88,0,73
6,9.76,4,5,1,49,49,77,1,76
6,8.23,1,1,0,95,60,83,1,57
1,8.39,4,2,0,99,77,46,0,72
5,5.51,1,4,3,82,77,94,1,60
2,7.37,0,3,5,87,86,53,0,67
6,9.43,2,7,5,79,46,51,1,86
5,6.2,0,4,1,73,96,60,1,56
3,8.94,4,5,5,85,51,91,0,86
1,8.38,2,5,2,88,91,73,0,77
2,6.11,2,7,5,88,80,60,1,78
1,6.41,4,1,1,82,72,75,0,60
1,7.14,0,3,1,40,64,79,1,49
4,5.63,2,3,2,58,67,81,1,54
5,9.57,0,2,4,40,63,88,1,62
3,8.7,0,2,2,95,87,46,1,65
6,6.82,0,5,1,63,70,60,0,57
3,6.5,2,1,1,64,57,49,0,51
5,8.45,3,7,1,43,62,60,0,73
1,7.12,1,5,1,63,46,88,1,59
4,6.15,4,6,3,78,89,55,0,77
5,7.15,0,3,4,59,47,64,0,56
2,9.36,2,3,1,72,93,52,1,72
2,5.34,4,5,3,67,54,94,0,66
5,6.84,3,7,5,82,77,89,1,82
6,9.81,3,3,1,84,67,66,0,75
3,5.07,2,7,4,74,66,76,1,68
3,9.45,0,2,4,63,60,47,1,65
6,6.87,3,3,2,79,83,69,0,67
4,5.95,3,2,3,83,66,70,0,62
1,5.07,3,4,5,41,86,98,0,63
1,5.35,2,7,4,62,95,46,0,70
2,5.86,4,1,0,72,86,69,1,56
4,5.13,1,1,1,91,100,57,1,51
6,6.68,2,3,4,53,81,62,0,63
5,5.22,0,1,5,54,80,77,1,48
3,8.46,2,6,5,71,53,99,0,79
5,9.09,2,4,3,62,60,84,1,72
3,9.44,1,3,3,43,53,95,0,65
5,7.75,1,2,3,59,88,80,0,61
6,9.73,1,4,2,70,82,69,1,73
6,5.03,4,7,5,98,45,94,1,77
4,5.67,2,6,1,46,51,69,1,56
5,6.47,0,4,0,40,67,47,1,48
5,8.95,1,1,3,44,88,51,0,61
4,9.43,1,6,1,53,68,49,0,71
4,8.09,2,2,3,69,76,46,1,66
6,6.92,0,5,3,77,77,78,1,64
6,8.33,1,4,5,62,42,56,1,68
2,5.9,2,1,0,46,99,71,0,48
5,7.29,3,7,1,83,72,44,0,76
6,7.54,4,7,3,78,89,81,1,84
6,5.52,2,4,5,89,85,60,0,68
5,5.17,1,2,2,93,51,70,1,51
4,8.75,0,7,3,55,51,91,0,70
5,7.67,3,2,5,48,50,54,0,65
1,6.66,0,3,1,78,67,52,1,53
5,7.19,0,5,4,94,90,85,1,71
1,9.79,0,5,3,100,74,88,0,78
5,6.92,2,1,2,85,73,46,1,59
1,5.52,2,5,2,73,61,63,0,60
1,7.32,4,2,3,70,78,92,0,69
5,8.24,3,5,1,100,92,43,1,79
2,5.06,0,1,3,84,62,99,1,47
6,6.66,1,4,2,46,51,80,0,54
3,6.97,0,5,3,96,58,58,1,65
6,7.32,3,5,2,90,70,85,0,74
1,6.51,0,7,4,41,98,74,1,66
5,8.33,2,2,3,45,92,68,0,65
5,9.72,2,2,0,83,52,75,1,66
5,9.57,3,7,3,100,58,94,0,90
5,8.32,4,4,2,73,75,73,1,76
2,7.53,0,7,1,56,61,47,0,63
3,9.13,3,6,2,65,83,41,1,81
4,9.18,1,6,4,51,69,43,0,76
1,9.15,1,3,1,59,43,41,1,61
3,5.79,4,5,0,80,52,69,0,64
6,5.13,2,2,0,97,59,96,1,51
4,9.92,3,3,4,85,78,68,1,83
4,9.8,0,5,4,74,45,43,0,74
5,7.82,3,5,4,74,83,60,1,79
3,9.97,4,3,5,93,51,48,1,87
6,8.85,3,2,4,68,55,41,0,72
5,7.59,4,4,3,87,84,59,0,78
5,6.95,4,6,2,77,56,93,1,74
2,7.96,4,5,5,70,47,88,1,80
1,7.58,3,7,3,79,72,72,1,80
4,9.97,1,1,1,52,83,94,1,62
6,7.45,0,1,0,65,96,45,0,51
4,9.18,4,1,0,61,91,68,1,68
3,9.07,2,7,1,47,78,55,0,75
1,5.36,4,4,0,79,92,75,1,63
5,5.44,3,6,4,46,51,44,1,64
1,8.3,4,5,4,44,65,76,1,77
5,6.3,2,2,5,91,58,48,0,64
1,8.29,1,2,4,40,52,71,1,59
5,5.72,3,7,1,84,95,76,1,72
4,6.99,3,6,2,93,49,73,1,73
4,5.51,3,4,1,79,73,78,1,61
4,6.41,2,6,2,50,70,86,1,64
4,5.44,3,5,0,91,66,97,0,62
1,9.85,1,3,5,71,97,96,1,79
5,6.98,0,3,0,46,42,94,1,46
4,9.51,0,5,0,90,83,79,0,71
1,9.86,4,5,2,68,44,68,0,81
5,9.55,0,2,0,69,44,70,0,57
1,7.27,2,4,1,60,76,97,0,62
2,8.89,0,4,2,78,46,42,1,64
4,5.77,2,6,4,87,79,82,0,72
3,5.47,2,7,2,83,95,100,0,70
1,9.38,4,7,1,82,98,64,0,89
4,5.16,0,2,5,96,90,94,1,58
6,9.86,4,1,1,80,95,81,1,76
5,8.36,3,3,1,78,87,75,0,71
2,7.1,1,5,0,59,81,83,1,60
4,5.71,0,6,5,61,52,97,1,61
6,8.62,3,3,4,68,73,52,1,75
1,7.82,3,3,5,85,75,78,0,76
1,8.56,4,6,4,43,73,58,1,81
6,7.09,4,4,3,42,92,98,1,70
2,5.33,1,2,5,48,42,55,1,50
6,6.57,1,1,5,44,49,81,0,52
5,6.58,1,1,1,95,97,69,1,57
1,5.04,1,6,5,42,82,78,0,61
6,5.05,4,6,0,64,74,74,1,63
3,6.65,2,2,2,71,76,41,0,59
3,8.64,4,3,0,72,91,40,1,72
6,8.12,2,2,1,57,45,98,1,57
5,6.2,4,7,0,84,60,93,0,71
1,8.01,4,2,5,75,97,87,0,78
3,8.24,1,7,1,89,84,84,1,76
6,7.61,2,5,5,80,44,42,1,74
6,7.61,3,5,2,68,42,65,1,69
4,6.85,3,3,2,78,59,67,1,64
6,5.62,3,4,4,86,69,66,0,68
5,6.93,1,1,5,84,51,53,1,60
3,6.73,3,5,3,41,100,89,1,69
4,7.96,4,3,0,50,74,82,0,65
3,9.28,1,6,3,98,71,90,0,81
3,6.88,3,2,0,70,58,63,1,57
5,8.55,1,7,4,43,54,74,0,73
6,9.06,4,5,4,68,49,91,0,82
5,6.06,1,2,2,93,96,73,1,59
6,9.51,3,2,2,89,65,63,0,74
4,5.35,1,5,5,96,45,45,0,64
5,9.51,0,7,2,42,87,96,0,73
5,5.82,3,3,5,41,86,70,0,63
2,6.69,4,6,0,83,65,95,1,71
1,8.03,2,7,5,75,41,68,0,79
5,9.53,1,1,3,53,88,75,0,65
2,6.28,1,3,3,87,87,68,0,62
1,8.82,3,4,2,92,71,52,0,78
6,8.55,3,7,4,43,42,47,1,78
6,5.8,0,7,3,83,58,54,1,64
6,7.4,4,7,4,69,75,72,0,83
2,7.41,1,4,2,58,59,98,0,60
2,6.52,1,1,0,58,100,64,1,49
1,8.9,2,7,5,83,69,55,0,87
6,9.63,1,6,1,70,76,60,1,75
3,8.58,1,7,3,54,84,91,1,76
5,9.86,0,4,5,68,59,76,0,74
2,5.25,2,2,5,42,99,84,0,57
2,5.19,1,4,2,58,73,56,0,53
2,9.47,1,5,2,61,98,73,1,75
1,9.49,4,7,5,86,83,52,1,97
6,5.54,1,2,3,59,56,73,0,50
3,6.79,0,7,1,100,81,82,0,68
5,9.18,1,3,0,94,62,100,1,66
5,5.64,1,6,3,46,80,54,0,60
6,6.34,3,1,5,43,48,80,1,57
3,8.4,1,5,0,40,66,61,0,60
1,9.91,2,5,2,80,56,90,1,78
2,8.99,3,1,5,46,80,43,1,71
2,8.89,2,4,5,61,85,100,0,78
6,6.71,2,1,3,76,56,88,0,57
5,8.31,0,1,0,96,88,86,0,58
2,5.57,1,4,4,69,41,78,1,57
5,9.96,2,7,4,100,97,62,0,94
5,7.4,1,3,4,48,98,52,1,64
6,8.19,1,6,5,97,54,47,1,79
4,9.38,0,1,0,66,50,40,1,54
4,5.0,0,4,4,77,93,80,1,58
4,9.88,2,5,2,95,96,89,0,84
3,6.8,2,1,5,62,76,100,1,61
6,6.7,3,6,0,51,80,56,0,65
5,5.73,1,7,2,52,48,56,0,59
2,9.29,1,7,1,72,53,47,1,74
3,9.35,0,1,0,54,47,42,1,52
4,5.1,0,7,4,55,82,68,1,61
1,5.28,2,3,4,73,51,93,1,57
3,9.59,3,3,5,48,46,61,0,75
3,5.61,3,5,1,81,42,82,1,61
6,8.1,0,3,5,91,65,41,1,69
2,8.1,0,7,3,66,42,41,1,69
3,9.35,3,6,1,87,85,87,1,83
2,7.86,3,5,4,54,43,56,1,72
6,7.17,2,7,4,74,96,48,0,79
1,9.87,3,1,3,73,99,72,1,76
5,6.14,1,4,1,79,71,68,1,57
5,6.31,3,3,2,69,85,68,0,63
4,5.42,4,5,1,87,53,93,0,65
4,9.88,3,3,2,62,42,83,1,72
1,8.53,0,3,4,48,52,96,0,61
